model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,18,2.162872,3.625163,2.531276,0.666667
N-En,18,2.140602,3.591689,2.528561,0.666667
elasticnet#1,18,2.08414,3.545911,2.49365,0.666667
elasticnet#2,18,2.05841,3.502995,2.493036,0.666667
ffn#1,18,2.161228,3.67607,2.494325,0.666667
ffn#2,18,2.195935,3.734974,2.494412,0.722222
lasso#1,18,2.059565,3.505881,2.492382,0.666667
lasso#2,18,2.057259,3.50372,2.491126,0.666667
lgbm_dart#1,18,2.051565,3.362078,2.58889,0.666667
lgbm_dart#2,18,2.109074,3.492722,2.561911,0.666667
lgbm_gbdt#1,18,2.044791,3.371776,2.572922,0.666667
lgbm_gbdt#2,18,2.042772,3.375795,2.567321,0.666667
pcr#1,18,-1.342489,2.467445,-2.308339,0.333333
pcr#2,18,-1.342489,2.467445,-2.308339,0.333333
pls#1,18,2.183113,3.646467,2.540038,0.722222
pls#2,18,2.131535,3.500901,2.583145,0.666667
rf#1,18,2.075383,3.415538,2.577956,0.666667
rf#2,18,2.054683,3.431029,2.540719,0.666667
ridge#1,18,2.033252,3.400259,2.536971,0.666667
ridge#2,18,2.033252,3.400259,2.536971,0.666667
