feature,coef,intercept
moneyness_std,0.05295655395013264,0.31374872100587625
tau,-0.046102840836231736,0.31374872100587625
is_call,0.05548183567390602,0.31374872100587625
delta_model,0.015339546189272635,0.31374872100587625
theta_model,0.0426975135382546,0.31374872100587625
gamma_model,-0.08406244775141039,0.31374872100587625
vega_model,-0.0965835275021096,0.31374872100587625
iv,0.06934303692709465,0.31374872100587625
log_mid_t,-0.20514950678764773,0.31374872100587625
opt_rel_spread_final,0.22262931517224563,0.31374872100587625
opt_rel_spread_chg,0.05765746941099715,0.31374872100587625
baspread_chg,0.05765746941099715,0.31374872100587625
log_open_interest_opt,0.010856382197320684,0.31374872100587625
d_log_open_interest_opt,0.04332278802907151,0.31374872100587625
atm_iv,-0.014956298878754241,0.31374872100587625
smile_slope,1.1200230222230497e-05,0.31374872100587625
convexity_proxy,0.06393416954112428,0.31374872100587625
rr25_proxy,-0.034199927367749905,0.31374872100587625
bf25_proxy,-0.03387215831038523,0.31374872100587625
ivrv_ratio_pred,-0.07474460196169884,0.31374872100587625
d_iv_atm,0.03159754945106093,0.31374872100587625
atm_ivchg_proxy,0.03159754945106093,0.31374872100587625
dist_to_wall,0.003706328156313178,0.31374872100587625
ddist_to_wall,-0.03213834211072793,0.31374872100587625
gex_proxy,-0.0036523295328926304,0.31374872100587625
dgex_proxy,-0.07464841007062392,0.31374872100587625
ddist_to_wall_date,0.010543082582859926,0.31374872100587625
dgex_proxy_date,0.010955325899453942,0.31374872100587625
oi_herf_date,0.0059374934249872375,0.31374872100587625
log_pcr_oi_opt,0.006203026063467859,0.31374872100587625
d_log_pcr_oi_opt,-0.05859085601959676,0.31374872100587625
rv_chg,-0.038619158840390924,0.31374872100587625
realskew_chg,-0.0033522698947704367,0.31374872100587625
fut_baspread_chg,-0.016070650648890013,0.31374872100587625
fut_baspread_z,-0.034766502690120535,0.31374872100587625
log_taker_buy_sell_ratio,-0.004844244955807614,0.31374872100587625
log1p_taker_buy_volume,0.021858207131644557,0.31374872100587625
log1p_long_liquidations_usd,0.012557416071107923,0.31374872100587625
log1p_short_liquidations_usd,0.03902874387413179,0.31374872100587625
d_log_taker_buy_sell_ratio,0.012436788266658061,0.31374872100587625
d_log1p_taker_buy_volume,0.030503010492715945,0.31374872100587625
d_log1p_long_liquidations_usd,-0.01187165224099735,0.31374872100587625
d_log1p_short_liquidations_usd,0.017454265324687756,0.31374872100587625
basis,0.022385871111961147,0.31374872100587625
d_basis,0.012481904568643851,0.31374872100587625
funding_rates,-0.012538500052907218,0.31374872100587625
d_funding_rates,0.009192365892999325,0.31374872100587625
log_estimated_leverage_ratio,-0.017988906313940484,0.31374872100587625
d_log_estimated_leverage_ratio,-0.015250538962255186,0.31374872100587625
log_open_interest,-0.007286920123364095,0.31374872100587625
d_log_open_interest,-0.010505929757196983,0.31374872100587625
log_pcr_oi,0.017910710305484637,0.31374872100587625
d_log_pcr_oi,0.01950245897267795,0.31374872100587625
futmom_5,-0.0077216363826287365,0.31374872100587625
futmom_10,-0.027943030405912325,0.31374872100587625
futmom_21,0.018297022140065036,0.31374872100587625
log1p_spot_inflow_total,-0.005512890643369488,0.31374872100587625
log1p_spot_outflow_total,-0.01548683778111506,0.31374872100587625
asinh_spot_netflow_total,0.035083128433997544,0.31374872100587625
log1p_spot_reserve_usd,-0.002296969239353016,0.31374872100587625
log1p_spot_transactions_count_inflow,-0.013501133159191507,0.31374872100587625
log1p_spot_transactions_count_outflow,0.032473952520409306,0.31374872100587625
addresses_count_active,0.006502916312906424,0.31374872100587625
d_log1p_spot_inflow_total,-0.03167306063930049,0.31374872100587625
d_log1p_spot_outflow_total,-0.03637657687795661,0.31374872100587625
d_asinh_spot_netflow_total,0.04243213053345225,0.31374872100587625
d_log1p_spot_reserve_usd,0.018258657438973473,0.31374872100587625
d_log1p_spot_transactions_count_inflow,-0.027834847880399687,0.31374872100587625
d_log1p_spot_transactions_count_outflow,0.01456434350661205,0.31374872100587625
log1p_der_inflow_total,-0.0009565981909927167,0.31374872100587625
d_log1p_der_inflow_total,-0.0021310245649615728,0.31374872100587625
log1p_der_outflow_total,-0.015285498713556504,0.31374872100587625
d_log1p_der_outflow_total,-0.009109173164425895,0.31374872100587625
asinh_der_netflow_total,-0.014948126858192055,0.31374872100587625
d_asinh_der_netflow_total,-0.022885899997012203,0.31374872100587625
d_funding_rates_x_mny,-0.03272194713346347,0.31374872100587625
d_funding_rates_x_tau,0.021538127922813486,0.31374872100587625
d_log1p_spot_inflow_total_x_mny,-0.022552230116263523,0.31374872100587625
d_log1p_spot_inflow_total_x_tau,-0.04723343644095528,0.31374872100587625
d_log_open_interest_x_mny,-0.056582712125539884,0.31374872100587625
d_log_open_interest_x_tau,-0.01928325561044306,0.31374872100587625
d_log_pcr_oi_x_mny,0.15947757539815685,0.31374872100587625
d_log_pcr_oi_x_tau,0.02647030635340274,0.31374872100587625
