model,family,is_ensemble,member_of,member_rank,estimator,params_json
ridge#1,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 8.291189979207587}"
ridge#2,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 7.08481306320402}"
lasso#1,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.16598654663071272}"
lasso#2,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.22420123713724424}"
elasticnet#1,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.8750516426087294, ""l1_ratio"": 0.21689698439847394}"
elasticnet#2,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.40298045932583026, ""l1_ratio"": 0.613965955965896}"
pcr#1,linear,False,,,Pipeline,"{""pca__n_components"": 5, ""ridge__alpha"": 1.0}"
pcr#2,linear,False,,,Pipeline,"{""pca__n_components"": 5, ""ridge__alpha"": 0.1}"
pls#1,linear,False,,,PLSRegression,"{""n_components"": 1}"
pls#2,linear,False,,,PLSRegression,"{""n_components"": 2}"
ridge#1,linear,False,L-En,1,Ridge,"{""max_iter"": 10000, ""alpha"": 8.291189979207587}"
ridge#2,linear,False,L-En,2,Ridge,"{""max_iter"": 10000, ""alpha"": 7.08481306320402}"
lasso#1,linear,False,L-En,3,Lasso,"{""max_iter"": 10000, ""alpha"": 0.16598654663071272}"
lasso#2,linear,False,L-En,4,Lasso,"{""max_iter"": 10000, ""alpha"": 0.22420123713724424}"
elasticnet#1,linear,False,L-En,5,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.8750516426087294, ""l1_ratio"": 0.21689698439847394}"
elasticnet#2,linear,False,L-En,6,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.40298045932583026, ""l1_ratio"": 0.613965955965896}"
pcr#1,linear,False,L-En,7,Pipeline,"{""pca__n_components"": 5, ""ridge__alpha"": 1.0}"
pcr#2,linear,False,L-En,8,Pipeline,"{""pca__n_components"": 5, ""ridge__alpha"": 0.1}"
pls#1,linear,False,L-En,9,PLSRegression,"{""n_components"": 1}"
pls#2,linear,False,L-En,10,PLSRegression,"{""n_components"": 2}"
